display_coef(model, features.columns)
Name                               Parameter Estimate  
phi_fp_ps30_spline_2               0.0531299220278095  
phi_fp_ps30_spline_3               -0.16826964068998992
phi_fp_ps30_spline_4               -0.0022514985556814433
phi_fp_ps30_spline_5               -0.02920206056086117
phi_fp_ps30_spline_6               -0.2684660490266213 
nrf_cor_fan_sp_spline_linear       15.451012072266817  
nrf_cor_fan_sp_spline_0            -16.41059485522371  
nrf_cor_fan_sp_spline_1            0.35115058480139977 
nrf_cor_fan_sp_spline_2            -7736.003373228979  
nrf_cor_fan_sp_spline_3            -3.1590897801907216 
nrf_cor_fan_sp_spline_4            0.27312449040972747 
nrf_cor_fan_sp_spline_5            13.272744260527869  
nrc_core_sp_spline_linear          0.04986284287949008 
nrc_core_sp_spline_0               -0.05940193826226075
nrc_core_sp_spline_1               0.009755170303325294
nrc_core_sp_spline_2               -0.00046425108840789184
nrc_core_sp_spline_3               -0.004198766347966943
nrc_core_sp_spline_4               0.0032008593524893124
nrc_core_sp_spline_5               -0.008308684223244853
nrc_core_sp_spline_6               0.0025973802516056402
nrc_core_sp_spline_7               -0.00023123242263201798
nrc_core_sp_spline_8               0.008876301400797959
bpr_bypass_rat_spline_linear       9.539836891666384   
bpr_bypass_rat_spline_0            -10.331528528119936 
bpr_bypass_rat_spline_1            1.0969387025464226  
bpr_bypass_rat_spline_2            -1.2833499759270925 
bpr_bypass_rat_spline_3            -0.6016679374173595 
bpr_bypass_rat_spline_4            -1.782459559492379  
bpr_bypass_rat_spline_5            1.4387573598339838  
htbleed_enthalpy_spline_linear     0.21560011137421853 
htbleed_enthalpy_spline_0          -0.29811444400634346
htbleed_enthalpy_spline_1          0.06539348996027869 
htbleed_enthalpy_spline_2          0.008251202223911323
htbleed_enthalpy_spline_3          0.013209370472170353
htbleed_enthalpy_spline_4          -0.035972912045243305
htbleed_enthalpy_spline_5          0.014593976370079899
htbleed_enthalpy_spline_6          -0.01718329960265708
htbleed_enthalpy_spline_7          -0.034421509059349785
htbleed_enthalpy_spline_8          0.003235021532677894
htbleed_enthalpy_spline_9          -0.2929639318122926 
htbleed_enthalpy_spline_10         1.0041133096647845  
w31_hpt_cool_bl_spline_linear      -8.084336991054737  
w31_hpt_cool_bl_spline_0           9.249794625516401   
w31_hpt_cool_bl_spline_1           -0.8526954144974643 
w31_hpt_cool_bl_spline_2           -0.18857507295750822
w31_hpt_cool_bl_spline_3           -0.1122117939302911 
w31_hpt_cool_bl_spline_4           -0.038805212070119825
w31_hpt_cool_bl_spline_5           -0.47380952214845745
w32_lpt_cool_bl_spline_linear      -0.3289453857607504 
w32_lpt_cool_bl_spline_0           1.3415339189599784  
w32_lpt_cool_bl_spline_1           -0.8590460705439674 
w32_lpt_cool_bl_spline_2           0.22426981031125204 
w32_lpt_cool_bl_spline_3           -0.23562061205310061
w32_lpt_cool_bl_spline_4           -0.3351472694425952 
